id,lat,lon,flock
109284,59.946735,10.720863,0
109296,59.946499,10.720669,0
212781,52.5305434,-1.912191,0
2110144,48.033363,10.4298992,0
10527370,59.878122,10.819904,0
10527371,59.878092,10.819769,0
20235053,59.922057,10.684906,0
21299447,59.930492,10.854401,0
21614568,59.9314112,10.7091144,0
26733510,47.6158006,19.346814,0
26742980,46.8662789,19.6451614,0
26748849,51.2358662,4.3007444,0
26983481,51.3179355,4.5758562,0
26983482,51.3177908,4.5760739,0
29529719,46.0584682,17.4480714,0
30144501,52.1024126,9.986123,0
31016917,46.1950389,20.4481613,0
31431226,35.1616409,-101.9201859,1
33219729,37.6179702,-122.1525973,0
40057409,44.0695831,-123.0490401,1
41308092,42.632314,-73.902425,0
41878496,33.0304539,-112.6478276,1
51080371,40.6271439,-105.138128,1
51968727,30.275521,-87.683105,1
51968770,30.275552,-87.683105,1
53092228,37.8231383,-122.2171989,1
53119037,37.8322866,-122.2271013,1
53819917,36.4531708,-88.0212769,1
57798203,37.9324306,-122.4033325,0
60434388,43.0851792,-71.473617,0
60435343,43.0851603,-71.4737755,0
60639253,41.5081521,-73.6839519,0
61400195,42.3707341,-71.0627942,0
61450132,42.3514517,-71.1123816,0
62381180,38.2195977,-122.1347972,1
62487705,38.0691169,-122.2266182,0
63060949,42.249555,-71.58652,0
65374006,37.8071685,-122.475654,0
65398620,37.2635541,-122.013767,0
65449592,37.2554829,-122.0014499,0
65449595,37.2554485,-122.0006569,0
65457393,37.2652505,-122.0137772,0
65614491,37.2587877,-122.0273216,0
65621565,37.2607163,-122.02297,0
69160967,33.879867,-84.3782275,1
69367786,33.881813,-84.374459,1
69988650,42.180469,-72.205114,0
73567124,42.2258687,-72.9703311,0
81651741,32.815059,-96.7860231,1
81698415,32.9755264,-96.7164954,1
81801623,32.747628,-96.916597,1
81921327,32.629247,-96.90328,1
82546784,32.877122,-97.287827,0
87555098,36.5124322,-119.5479163,1
87809362,59.878322,10.821322,0
94073676,41.146038,-76.1490758,1
95865536,29.8644224,-82.1312139,0
96075555,26.2694471,-80.0948304,0
100206931,29.6526531,-81.2770105,1
101076987,29.1583167,-81.0103501,1
103747951,40.8179581,-74.2798951,1
104633967,40.256556,-74.302424,0
105361863,41.0643557,-74.6035929,1
